epoch,train_loss,val_loss
0,3.722171388566494,3.0559626817703247
1,3.4047480821609497,3.0326748192310333
2,3.374485820531845,3.035908877849579
3,3.352010063827038,2.981612890958786
4,3.3384325057268143,3.0023130774497986
5,3.3421389758586884,2.949601322412491
6,3.3040824458003044,2.928759425878525
7,3.288074642419815,2.9285820722579956
8,3.27336298674345,2.941985547542572
9,3.257691815495491,2.9095742106437683
10,3.2585645020008087,2.9275936782360077
11,3.243673652410507,2.8951600193977356
12,3.2257173135876656,2.900058925151825
13,3.2259381711483,2.918866604566574
14,3.210638888180256,2.89813095331192
15,3.1983926966786385,2.9006352722644806
16,3.174991026520729,2.887450188398361
17,3.1764937564730644,2.8874107599258423
18,3.1553447246551514,2.9035818576812744
19,3.162417285144329,2.899806171655655
20,3.1623460054397583,2.890698105096817
21,3.1451978236436844,2.893072247505188
22,3.1545196026563644,2.89259672164917
23,3.13473042845726,2.874520719051361
24,3.124086059629917,2.8823920488357544
25,3.1078304052352905,2.861311912536621
26,3.1204168871045113,2.887830972671509
27,3.1026688143610954,2.8673053085803986
28,3.1017576083540916,2.8793818950653076
29,3.1047490388154984,2.8675369322299957
30,3.0836775302886963,2.858667403459549
31,3.0883063226938248,2.8724268078804016
32,3.083708666265011,2.8723995089530945
33,3.0775343254208565,2.8606408536434174
34,3.0769104212522507,2.8620152175426483
35,3.067528799176216,2.8685644268989563
36,3.064709536731243,2.8670210242271423
37,3.062437057495117,2.850393533706665
38,3.047317884862423,2.8769724369049072
39,3.0521871000528336,2.864910304546356
40,3.047557719051838,2.867438465356827
41,3.0376225486397743,2.849816679954529
42,3.0395899787545204,2.857745110988617
43,3.03837388753891,2.8495912551879883
44,3.0356090515851974,2.8621709048748016
45,3.026677720248699,2.8620636463165283
46,3.0258956775069237,2.8545773923397064
47,3.0213318839669228,2.868063896894455
48,3.0218409076333046,2.8642172813415527
49,3.019010826945305,2.86037215590477
50,3.0155755653977394,2.869988977909088
51,3.012760691344738,2.848252832889557
52,3.0064139887690544,2.8572470247745514
53,3.0023082569241524,2.8463697731494904
54,3.0149958804249763,2.843060702085495
55,2.9957740530371666,2.867668718099594
56,3.0006550922989845,2.854873299598694
57,3.006232962012291,2.8561313152313232
58,2.9959266930818558,2.853837013244629
59,2.9916026294231415,2.849108338356018
60,2.9909398704767227,2.850495457649231
61,2.992449700832367,2.85270419716835
62,2.9867168217897415,2.8560456037521362
63,2.990668460726738,2.843831032514572
64,2.992385484278202,2.853452891111374
65,2.9866181761026382,2.8496663570404053
66,2.9820272102952003,2.8568919897079468
67,2.9915463775396347,2.8585093915462494
68,2.982325755059719,2.8483135402202606
69,2.9790543764829636,2.843168169260025
70,2.990106612443924,2.8495143353939056
71,2.973267190158367,2.8457979261875153
72,2.9785715118050575,2.8380447030067444
73,2.9791864827275276,2.836652934551239
74,2.9814852103590965,2.8407943546772003
75,2.9737362414598465,2.843067914247513
76,2.9798818081617355,2.8402445018291473
77,2.9705209881067276,2.8475311994552612
78,2.969278521835804,2.8402768969535828
79,2.980130650103092,2.841562122106552
80,2.9684500098228455,2.839938133955002
81,2.974705196917057,2.845498889684677
82,2.9699767008423805,2.836365222930908
83,2.967612810432911,2.8482468724250793
84,2.972057066857815,2.8415416181087494
85,2.9622820615768433,2.848676770925522
